geo_id,community
0,2
1,1
2,3
3,2
4,0
5,0
6,1
7,3
8,1
9,1
10,0
11,2
12,2
13,0
14,1
15,1
16,0
17,3
18,1
19,3
20,0
21,0
22,2
23,3
24,2
25,0
26,1
27,1
28,0
29,1
30,3
31,3
32,2
33,2
34,0
35,2
36,2
37,1
38,0
39,2
40,3
41,3
42,2
43,2
44,2
45,1
46,3
47,3
48,2
49,3
50,3
51,2
52,1
53,2
54,0
55,1
56,1
57,3
58,3
59,3
60,0
61,0
62,1
63,1
64,2
65,2
66,0
67,2
68,3
69,1
70,0
71,0
72,1
73,3
74,3
75,0
76,0
77,3
78,2
79,2
80,3
81,1
82,1
83,7
84,0
85,1
86,2
87,2
88,0
89,2
90,0
91,1
92,1
93,3
94,1
95,1
96,2
97,1
98,1
99,2
100,1
101,1
102,
103,
104,0
105,0
106,2
107,0
108,2
109,
110,3
111,2
112,2
113,2
114,1
115,3
116,1
117,2
118,3
119,3
120,1
121,1
122,0
123,0
124,2
125,3
126,3
127,3
128,1
129,1
130,1
131,1
132,0
133,1
134,1
135,3
136,0
137,1
138,1
139,3
140,3
141,3
142,2
143,2
144,1
145,1
146,3
147,2
148,0
149,0
150,3
151,3
152,3
153,0
154,0
155,2
156,2
157,2
158,3
159,1
160,2
161,2
162,2
163,2
164,0
165,3
166,3
167,3
168,3
169,2
170,1
171,1
172,1
173,3
174,1
175,1
176,0
177,0
178,1
179,1
180,0
181,3
182,3
183,3
184,3
185,2
186,1
187,0
188,2
189,0
190,1
191,1
192,1
193,3
194,2
195,1
196,1
197,2
198,1
199,3
200,1
201,1
202,1
203,2
204,1
205,1
206,1
207,3
208,2
209,0
210,2
211,3
212,3
213,0
214,1
215,1
216,2
217,1
218,1
219,3
220,0
221,0
222,1
223,2
224,0
225,1
226,0
227,0
228,2
229,2
230,2
231,2
232,2
233,2
234,3
235,3
236,2
237,3
238,2
239,3
240,3
241,3
242,3
243,3
244,1
245,2
246,3
247,3
248,2
249,3
250,1
251,1
252,1
253,3
254,2
255,2
256,0
257,1
258,3
259,1
260,2
261,3
262,3
