geo_id,community
0,0
1,2
2,3
3,0
4,0
5,4
6,2
7,3
8,2
9,2
10,4
11,0
12,0
13,4
14,2
15,2
16,1
17,3
18,2
19,3
20,4
21,4
22,4
23,0
24,1
25,4
26,4
27,2
28,4
29,5
30,3
31,3
32,1
33,1
34,1
35,1
36,1
37,2
38,1
39,1
40,0
41,0
42,0
43,10
44,0
45,3
46,3
47,0
48,1
49,0
50,3
51,1
52,2
53,1
54,4
55,2
56,2
57,3
58,6
59,3
60,1
61,1
62,1
63,2
64,1
65,1
66,4
67,0
68,3
69,2
70,1
71,1
72,2
73,0
74,0
75,1
76,1
77,3
78,0
79,1
80,3
81,2
82,2
83,0
84,1
85,5
86,0
87,0
88,1
89,0
90,1
91,2
92,2
93,3
94,2
95,2
96,1
97,2
98,0
99,0
100,2
101,2
102,
103,
104,0
105,1
106,0
107,4
108,0
109,
110,4
111,1
112,0
113,0
114,4
115,0
116,5
117,4
118,3
119,0
120,2
121,2
122,4
123,2
124,0
125,3
126,0
127,0
128,2
129,2
130,2
131,2
132,1
133,2
134,2
135,3
136,0
137,6
138,2
139,0
140,0
141,0
142,0
143,0
144,2
145,2
146,3
147,0
148,4
149,4
150,0
151,0
152,3
153,4
154,4
155,0
156,2
157,0
158,3
159,2
160,0
161,0
162,0
163,0
164,4
165,0
166,3
167,3
168,3
169,0
170,2
171,4
172,2
173,3
174,2
175,0
176,1
177,4
178,2
179,2
180,1
181,3
182,3
183,6
184,3
185,0
186,0
187,1
188,1
189,1
190,2
191,2
192,2
193,0
194,1
195,2
196,2
197,1
198,0
199,3
200,5
201,2
202,2
203,2
204,2
205,4
206,2
207,3
208,0
209,4
210,0
211,3
212,3
213,4
214,2
215,2
216,1
217,2
218,2
219,3
220,4
221,1
222,2
223,0
224,1
225,2
226,4
227,4
228,0
229,0
230,0
231,0
232,0
233,0
234,3
235,0
236,0
237,0
238,0
239,3
240,3
241,3
242,0
243,0
244,4
245,0
246,3
247,3
248,0
249,3
250,1
251,2
252,2
253,3
254,1
255,1
256,1
257,2
258,3
259,2
260,0
261,0
262,0
