geo_id,community
0,1
1,3
2,2
3,1
4,0
5,0
6,3
7,3
8,3
9,3
10,0
11,1
12,1
13,0
14,3
15,3
16,0
17,2
18,3
19,2
20,0
21,0
22,3
23,1
24,0
25,0
26,0
27,3
28,0
29,0
30,2
31,2
32,1
33,1
34,0
35,0
36,0
37,3
38,0
39,1
40,2
41,2
42,1
43,10
44,1
45,2
46,2
47,1
48,0
49,1
50,2
51,1
52,3
53,1
54,0
55,3
56,3
57,3
58,2
59,2
60,0
61,0
62,0
63,3
64,1
65,1
66,0
67,1
68,2
69,3
70,0
71,0
72,3
73,2
74,2
75,0
76,0
77,2
78,1
79,0
80,2
81,3
82,3
83,1
84,0
85,3
86,1
87,1
88,0
89,1
90,0
91,3
92,3
93,2
94,3
95,3
96,0
97,3
98,10
99,1
100,3
101,3
102,
103,
104,0
105,1
106,1
107,0
108,0
109,
110,0
111,1
112,1
113,1
114,3
115,2
116,0
117,3
118,2
119,2
120,3
121,3
122,0
123,3
124,1
125,2
126,2
127,2
128,3
129,3
130,3
131,3
132,0
133,3
134,3
135,2
136,1
137,3
138,3
139,2
140,1
141,1
142,1
143,1
144,1
145,3
146,2
147,1
148,0
149,0
150,2
151,2
152,2
153,0
154,0
155,6
156,3
157,1
158,2
159,3
160,1
161,1
162,1
163,1
164,0
165,2
166,2
167,2
168,2
169,1
170,3
171,3
172,3
173,2
174,3
175,0
176,0
177,0
178,3
179,3
180,0
181,2
182,2
183,2
184,2
185,1
186,3
187,0
188,0
189,0
190,3
191,3
192,3
193,2
194,1
195,3
196,3
197,3
198,0
199,2
200,0
201,3
202,3
203,2
204,3
205,0
206,3
207,2
208,1
209,0
210,1
211,2
212,2
213,1
214,3
215,3
216,1
217,3
218,3
219,2
220,0
221,0
222,3
223,1
224,0
225,3
226,0
227,0
228,1
229,1
230,1
231,1
232,1
233,1
234,2
235,2
236,1
237,1
238,1
239,2
240,2
241,2
242,2
243,2
244,3
245,1
246,2
247,2
248,1
249,2
250,0
251,3
252,3
253,2
254,1
255,1
256,1
257,3
258,2
259,3
260,1
261,1
262,2
