geo_id,community
0,0
1,2
2,1
3,0
4,3
5,2
6,3
7,3
8,3
9,3
10,2
11,0
12,0
13,2
14,3
15,3
16,2
17,1
18,3
19,1
20,2
21,2
22,3
23,0
24,2
25,2
26,2
27,3
28,2
29,2
30,3
31,1
32,2
33,2
34,2
35,2
36,2
37,3
38,2
39,2
40,0
41,1
42,0
43,2
44,0
45,2
46,1
47,1
48,2
49,0
50,1
51,2
52,3
53,2
54,2
55,3
56,3
57,1
58,1
59,1
60,2
61,2
62,2
63,3
64,2
65,2
66,2
67,0
68,1
69,3
70,2
71,2
72,3
73,1
74,1
75,2
76,2
77,1
78,2
79,2
80,1
81,3
82,3
83,4
84,2
85,3
86,0
87,0
88,2
89,0
90,2
91,3
92,3
93,1
94,3
95,3
96,2
97,3
98,0
99,0
100,3
101,3
102,
103,
104,0
105,2
106,0
107,2
108,3
109,
110,2
111,0
112,0
113,0
114,3
115,1
116,2
117,2
118,1
119,1
120,3
121,3
122,2
123,2
124,0
125,1
126,1
127,1
128,3
129,3
130,3
131,3
132,2
133,3
134,3
135,1
136,0
137,3
138,3
139,0
140,0
141,0
142,0
143,0
144,3
145,3
146,1
147,2
148,2
149,2
150,0
151,0
152,3
153,2
154,2
155,3
156,3
157,0
158,1
159,3
160,0
161,0
162,0
163,2
164,2
165,0
166,1
167,1
168,1
169,2
170,3
171,2
172,3
173,1
174,3
175,4
176,2
177,2
178,3
179,3
180,2
181,1
182,1
183,1
184,1
185,0
186,0
187,2
188,2
189,2
190,3
191,3
192,3
193,1
194,2
195,3
196,3
197,2
198,1
199,0
200,2
201,0
202,3
203,2
204,3
205,3
206,3
207,1
208,0
209,2
210,0
211,1
212,1
213,3
214,3
215,3
216,0
217,3
218,3
219,1
220,2
221,2
222,3
223,0
224,2
225,3
226,2
227,2
228,0
229,1
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,0
239,0
240,1
241,1
242,0
243,1
244,0
245,0
246,1
247,1
248,0
249,1
250,2
251,3
252,3
253,1
254,2
255,2
256,2
257,3
258,1
259,3
260,0
261,0
262,1
